OBJECTID,NPU,STATISTICA,POP2010,NEIGHBORHO,URL,A,pop,white,black,asian,other,hispanic,GlobalID,last_edited_date
1,NPU C,C04,2672,"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",http://documents.atlantaregional.com/AtlantaProfiles/C04.pdf,"Arden/Habersham, Argonne Forest, Peachtree Battle Alliance, Wyngate",2672,96.3,0.9,1,0.5,1.3,{6018B100-48DF-4B88-85B7-C4095D15897D},
2,NPU B,B10,3736,"Peachtree Heights East, Peachtree Hills",http://documents.atlantaregional.com/AtlantaProfiles/B10.pdf,"Peachtree Heights East, Peachtree Hills",3736,86.6,5.9,2,1.8,3.7,{FA9A3ABB-FA59-43CD-92A8-B3BFCA21CB1D},
3,NPU B,B01,4874,Peachtree Heights West,http://documents.atlantaregional.com/AtlantaProfiles/B01.pdf,Peachtree Heights West,4874,77,14.5,2.9,2,3.6,{405F0DA9-A4EE-4394-A4D9-B502065504DF},
4,NPU B,B02,3372,"Buckhead Forest, South Tuxedo Park",http://documents.atlantaregional.com/AtlantaProfiles/B02.pdf,"Buckhead Forest, South Tuxedo Park",3372,77.5,9,3.5,2,8.1,{CF68D35A-64DD-4711-A9F3-A5CA932168AF},
5,NPU A,A03,3423,"Chastain Park, Tuxedo Park",http://documents.atlantaregional.com/AtlantaProfiles/A03.pdf,"Chastain Park, Tuxedo Park",3423,93.8,0.7,2.6,1.1,1.8,{63D6A42F-7787-452A-BF77-56102A6C955F},
6,NPU B,B03,2092,East Chastain Park,http://documents.atlantaregional.com/AtlantaProfiles/B03.pdf,East Chastain Park,2092,85,6.5,4,1.8,2.7,{333FD0AB-7129-4EA1-B56A-FB01CC1F2034},
7,NPU B,B09,3584,Garden Hills,http://documents.atlantaregional.com/AtlantaProfiles/B09.pdf,Garden Hills,3584,71.4,6.1,4.4,2.6,15.5,{633E69EE-50C3-4EF7-9D58-5BF55E28610B},
8,NPU B,B11,4604,Lindbergh/Morosgo,http://documents.atlantaregional.com/AtlantaProfiles/B11.pdf,Lindbergh/Morosgo,4604,34.4,24.9,9.5,2.3,28.8,{4E1D60DE-23C3-4459-8EC9-0B24DADB0D42},
9,NPU B,B07,2920,"Buckhead Village, Peachtree Park",http://documents.atlantaregional.com/AtlantaProfiles/B07.pdf,"Buckhead Village, Peachtree Park",2920,77.4,11.1,3.1,2.3,6.2,{9D5679D0-ADB1-49CB-9538-6D82C744F669},
10,NPU L,L01,2818,Vine City,http://documents.atlantaregional.com/AtlantaProfiles/L01.pdf,Vine City,2818,2.2,92.7,0.3,2.2,2.6,{50ECE773-3A06-4E7A-ACEE-B16D58D9DEAC},
